packet_number,length,bssid,ta,ra,fc_type_subtype,data_rate,channel,frequency,phy,retry,short_gi,signal_strength,bandwidth,mcs_index,tsf_timestamp,timestamp_wireshark,timestamp_readable
1,354,34:36:54:d4:79:03,34:36:54:d4:79:03,ff:ff:ff:ff:ff:ff,0x0008,1,1,2412,4,False,False,-29,,,2400713933230,1742833690.959189,2025-03-24 18:28:10.959189
2,354,34:36:54:d4:79:03,34:36:54:d4:79:03,ff:ff:ff:ff:ff:ff,0x0008,1,1,2412,4,False,False,-29,,,2400714035593,1742833691.061544,2025-03-24 18:28:11.061544
3,269,12:f4:f0:24:b1:92,12:f4:f0:24:b1:92,ff:ff:ff:ff:ff:ff,0x0008,1,1,2412,4,False,False,-87,,,4877619595,1742833691.089263,2025-03-24 18:28:11.089263
4,354,34:36:54:d4:79:03,34:36:54:d4:79:03,ff:ff:ff:ff:ff:ff,0x0008,1,1,2412,4,False,False,-28,,,2400714138025,1742833691.164,2025-03-24 18:28:11.164000
5,269,12:f4:f0:24:b1:92,12:f4:f0:24:b1:92,ff:ff:ff:ff:ff:ff,0x0008,1,1,2412,4,False,False,-86,,,4877722232,1742833691.19164,2025-03-24 18:28:11.191640
6,354,34:36:54:d4:79:03,34:36:54:d4:79:03,ff:ff:ff:ff:ff:ff,0x0008,1,1,2412,4,False,False,-29,,,2400714240396,1742833691.266631,2025-03-24 18:28:11.266631
7,269,12:f4:f0:24:b1:92,12:f4:f0:24:b1:92,ff:ff:ff:ff:ff:ff,0x0008,1,1,2412,4,False,False,-87,,,4877825202,1742833691.29484,2025-03-24 18:28:11.294840
8,354,34:36:54:d4:79:03,34:36:54:d4:79:03,ff:ff:ff:ff:ff:ff,0x0008,1,1,2412,4,False,False,-28,,,2400714342806,1742833691.368792,2025-03-24 18:28:11.368792
9,269,12:f4:f0:24:b1:92,12:f4:f0:24:b1:92,ff:ff:ff:ff:ff:ff,0x0008,1,1,2412,4,False,False,-86,,,4877926798,1742833691.396461,2025-03-24 18:28:11.396461
10,354,34:36:54:d4:79:03,34:36:54:d4:79:03,ff:ff:ff:ff:ff:ff,0x0008,1,1,2412,4,False,False,-28,,,2400714445211,1742833691.471385,2025-03-24 18:28:11.471385
11,269,12:f4:f0:24:b1:92,12:f4:f0:24:b1:92,ff:ff:ff:ff:ff:ff,0x0008,1,1,2412,4,False,False,-87,,,4878029194,1742833691.498878,2025-03-24 18:28:11.498878
12,354,34:36:54:d4:79:03,34:36:54:d4:79:03,ff:ff:ff:ff:ff:ff,0x0008,1,1,2412,4,False,False,-28,,,2400714547618,1742833691.573817,2025-03-24 18:28:11.573817
13,354,34:36:54:d4:79:03,34:36:54:d4:79:03,ff:ff:ff:ff:ff:ff,0x0008,1,1,2412,4,False,False,-28,,,2400714650001,1742833691.67601,2025-03-24 18:28:11.676010
14,269,12:f4:f0:24:b1:92,12:f4:f0:24:b1:92,ff:ff:ff:ff:ff:ff,0x0008,1,1,2412,4,False,False,-87,,,4878233996,1742833691.703389,2025-03-24 18:28:11.703389
