packet_number,length,bssid,ta,ra,fc_type_subtype,data_rate,channel,frequency,phy,retry,short_gi,signal_strength,bandwidth,mcs_index,tsf_timestamp,timestamp_wireshark,timestamp_readable
1,72,,82:68:c0:9c:e9:6b,fc:40:09:a0:49:6d,0x001b,24,64,5320,5,False,False,-83,,,,1742833365.1930065,2025-03-24 18:22:45.193007
2,460,d8:21:da:26:2a:75,d8:21:da:26:2a:75,ff:ff:ff:ff:ff:ff,0x0008,6,64,5320,5,False,False,-87,,,959797043386,1742833365.1949515,2025-03-24 18:22:45.194952
3,72,,82:68:c0:9c:e9:6b,fc:40:09:a0:49:6d,0x001b,24,64,5320,5,False,False,-84,,,,1742833365.1971698,2025-03-24 18:22:45.197170
4,553,d8:21:da:26:2a:75,d8:21:da:26:2a:75,2a:46:87:4f:f8:72,0x0005,6,64,5320,5,False,False,-87,,,959797046636,1742833365.1983232,2025-03-24 18:22:45.198323
5,66,,,d8:21:da:26:2a:75,0x001d,6,64,5320,5,False,False,-83,,,,1742833365.1983333,2025-03-24 18:22:45.198333
6,72,,82:68:c0:9c:e9:6b,fc:40:09:a0:49:6d,0x001b,24,64,5320,5,False,False,-83,,,,1742833365.2010522,2025-03-24 18:22:45.201052
7,82,d4:76:a0:d4:8c:18,96:56:41:44:f5:ea,d4:76:a0:d4:8c:18,0x002c,6,64,5320,5,False,False,-86,,,,1742833365.228001,2025-03-24 18:22:45.228001
8,66,,,96:56:41:44:f5:ea,0x001d,6,64,5320,5,False,False,-64,,,,1742833365.2280238,2025-03-24 18:22:45.228024
9,84,,d4:76:a0:d4:8c:18,96:56:41:44:f5:ea,0x0019,24,64,5320,5,False,False,-66,,,,1742833365.228282,2025-03-24 18:22:45.228282
10,454,08:aa:89:74:ed:c5,08:aa:89:74:ed:c5,ff:ff:ff:ff:ff:ff,0x0008,6,64,5320,5,False,False,-92,,,1326762803270,1742833365.231887,2025-03-24 18:22:45.231887
11,186,ff:ff:ff:ff:ff:ff,2e:81:36:5d:2e:49,ff:ff:ff:ff:ff:ff,0x0004,6,64,5320,5,False,False,-77,,,,1742833365.2344115,2025-03-24 18:22:45.234411
12,174,ff:ff:ff:ff:ff:ff,ee:ff:3e:1f:e1:fe,ff:ff:ff:ff:ff:ff,0x0004,6,64,5320,5,False,False,-77,,,,1742833365.2348564,2025-03-24 18:22:45.234856
13,72,,82:68:c0:9c:e9:6b,fc:40:09:a0:49:6d,0x001b,24,64,5320,5,False,False,-84,,,,1742833365.2349346,2025-03-24 18:22:45.234935
14,84,,fc:40:09:a0:49:6d,82:68:c0:9c:e9:6b,0x0019,24,64,5320,5,False,False,-78,,,,1742833365.2351549,2025-03-24 18:22:45.235155
15,66,,,d8:21:da:26:2a:75,0x001d,6,64,5320,5,False,False,-78,,,,1742833365.2357461,2025-03-24 18:22:45.235746
16,478,d4:76:a0:d4:8c:18,d4:76:a0:d4:8c:18,ee:ff:3e:1f:e1:fe,0x0005,6,64,5320,5,False,False,-64,,,2263143620166,1742833365.2363873,2025-03-24 18:22:45.236387
17,66,,,d4:76:a0:d4:8c:18,0x001d,6,64,5320,5,False,False,-78,,,,1742833365.2363987,2025-03-24 18:22:45.236399
18,553,d8:21:da:26:2a:75,d8:21:da:26:2a:75,ee:ff:3e:1f:e1:fe,0x0005,6,64,5320,5,True,False,-87,,,959797085484,1742833365.2371721,2025-03-24 18:22:45.237172
19,66,,,d8:21:da:26:2a:75,0x001d,6,64,5320,5,False,False,-79,,,,1742833365.2371821,2025-03-24 18:22:45.237182
