packet_number,length,bssid,ta,ra,fc_type_subtype,data_rate,channel,frequency,phy,short_gi,signal_strength,bandwidth,mcs_index,spatial_streams_tx_max,tsf_timestamp,timestamp_wireshark,timestamp_readable
1,252,f4:2e:7f:2e:92:a1,f4:2e:7f:2e:92:a1,ff:ff:ff:ff:ff:ff,0x0008,1,4,2427,4,False,-68,0x00a0,,,674709099326,1742821801.5397887,2025-03-24 15:10:01.539789
2,252,f4:2e:7f:2e:92:a1,f4:2e:7f:2e:92:a1,ff:ff:ff:ff:ff:ff,0x0008,1,4,2427,4,False,-68,0x00a0,,,674709202432,1742821801.643187,2025-03-24 15:10:01.643187
3,252,f4:2e:7f:2e:92:a1,f4:2e:7f:2e:92:a1,ff:ff:ff:ff:ff:ff,0x0008,1,5,2432,4,False,-67,0x00a0,,,674709305083,1742821801.745813,2025-03-24 15:10:01.745813
4,254,f4:2e:7f:2e:92:a2,f4:2e:7f:2e:92:a2,ff:ff:ff:ff:ff:ff,0x0008,1,5,2432,4,False,-67,0x00a0,,,674709306888,1742821801.747628,2025-03-24 15:10:01.747628
5,252,f4:2e:7f:2e:92:a3,f4:2e:7f:2e:92:a3,ff:ff:ff:ff:ff:ff,0x0008,1,5,2432,4,False,-67,0x00a0,,,674709308323,1742821801.7493937,2025-03-24 15:10:01.749394
6,250,f4:2e:7f:2e:92:a0,f4:2e:7f:2e:92:a0,ff:ff:ff:ff:ff:ff,0x0008,1,5,2432,4,False,-67,0x00a0,,,674709401987,1742821801.8424268,2025-03-24 15:10:01.842427
7,252,f4:2e:7f:2e:92:a1,f4:2e:7f:2e:92:a1,ff:ff:ff:ff:ff:ff,0x0008,1,5,2432,4,False,-67,0x00a0,,,674709403776,1742821801.8444977,2025-03-24 15:10:01.844498
8,254,f4:2e:7f:2e:92:a2,f4:2e:7f:2e:92:a2,ff:ff:ff:ff:ff:ff,0x0008,1,5,2432,4,False,-67,0x00a0,,,674709405581,1742821801.8463106,2025-03-24 15:10:01.846311
9,252,f4:2e:7f:2e:92:a3,f4:2e:7f:2e:92:a3,ff:ff:ff:ff:ff:ff,0x0008,1,5,2432,4,False,-67,0x00a0,,,674709407016,1742821801.8481164,2025-03-24 15:10:01.848116
10,250,f4:2e:7f:2e:92:a0,f4:2e:7f:2e:92:a0,ff:ff:ff:ff:ff:ff,0x0008,1,5,2432,4,False,-67,0x00a0,,,674709504387,1742821801.9450898,2025-03-24 15:10:01.945090
11,252,f4:2e:7f:2e:92:a1,f4:2e:7f:2e:92:a1,ff:ff:ff:ff:ff:ff,0x0008,1,5,2432,4,False,-67,0x00a0,,,674709506176,1742821801.9468937,2025-03-24 15:10:01.946894
12,254,f4:2e:7f:2e:92:a2,f4:2e:7f:2e:92:a2,ff:ff:ff:ff:ff:ff,0x0008,1,5,2432,4,False,-67,0x00a0,,,674709507981,1742821801.948711,2025-03-24 15:10:01.948711
13,250,f4:2e:7f:2e:92:a0,f4:2e:7f:2e:92:a0,ff:ff:ff:ff:ff:ff,0x0008,1,6,2437,4,False,-67,0x00a0,,,674709611383,1742821802.052037,2025-03-24 15:10:02.052037
14,252,f4:2e:7f:2e:92:a1,f4:2e:7f:2e:92:a1,ff:ff:ff:ff:ff:ff,0x0008,1,6,2437,4,False,-66,0x00a0,,,674709613172,1742821802.053794,2025-03-24 15:10:02.053794
15,254,f4:2e:7f:2e:92:a2,f4:2e:7f:2e:92:a2,ff:ff:ff:ff:ff:ff,0x0008,1,6,2437,4,False,-66,0x00a0,,,674709614977,1742821802.055806,2025-03-24 15:10:02.055806
16,252,f4:2e:7f:2e:92:a3,f4:2e:7f:2e:92:a3,ff:ff:ff:ff:ff:ff,0x0008,1,6,2437,4,False,-66,0x00a0,,,674709616412,1742821802.05747,2025-03-24 15:10:02.057470
17,250,f4:2e:7f:2e:92:a0,f4:2e:7f:2e:92:a0,ff:ff:ff:ff:ff:ff,0x0008,1,6,2437,4,False,-67,0x00a0,,,674709709193,1742821802.1499124,2025-03-24 15:10:02.149912
18,252,f4:2e:7f:2e:92:a1,f4:2e:7f:2e:92:a1,ff:ff:ff:ff:ff:ff,0x0008,1,6,2437,4,False,-67,0x00a0,,,674709710982,1742821802.1516936,2025-03-24 15:10:02.151694
19,254,f4:2e:7f:2e:92:a2,f4:2e:7f:2e:92:a2,ff:ff:ff:ff:ff:ff,0x0008,1,6,2437,4,False,-67,0x00a0,,,674709712787,1742821802.1535158,2025-03-24 15:10:02.153516
20,252,f4:2e:7f:2e:92:a3,f4:2e:7f:2e:92:a3,ff:ff:ff:ff:ff:ff,0x0008,1,6,2437,4,False,-67,0x00a0,,,674709714222,1742821802.1552625,2025-03-24 15:10:02.155262
21,252,7c:57:3c:19:79:c1,7c:57:3c:19:79:c1,ff:ff:ff:ff:ff:ff,0x0008,1,10,2457,4,False,-77,0x00a0,,,674714933376,1742821803.1100934,2025-03-24 15:10:03.110093
22,254,7c:57:3c:19:79:c2,7c:57:3c:19:79:c2,ff:ff:ff:ff:ff:ff,0x0008,1,10,2457,4,False,-77,0x00a0,,,674714935181,1742821803.1121254,2025-03-24 15:10:03.112125
23,252,7c:57:3c:19:79:c3,7c:57:3c:19:79:c3,ff:ff:ff:ff:ff:ff,0x0008,1,10,2457,4,False,-77,0x00a0,,,674714936616,1742821803.113922,2025-03-24 15:10:03.113922
24,252,7c:57:3c:19:79:c1,7c:57:3c:19:79:c1,ff:ff:ff:ff:ff:ff,0x0008,1,10,2457,4,False,-77,0x00a0,,,674715035776,1742821803.212681,2025-03-24 15:10:03.212681
25,254,7c:57:3c:19:79:c2,7c:57:3c:19:79:c2,ff:ff:ff:ff:ff:ff,0x0008,1,10,2457,4,False,-77,0x00a0,,,674715037581,1742821803.2142591,2025-03-24 15:10:03.214259
26,252,7c:57:3c:19:79:c1,7c:57:3c:19:79:c1,ff:ff:ff:ff:ff:ff,0x0008,1,11,2462,4,False,-77,0x00a0,,,674715138176,1742821803.315091,2025-03-24 15:10:03.315091
27,254,7c:57:3c:19:79:c2,7c:57:3c:19:79:c2,ff:ff:ff:ff:ff:ff,0x0008,1,11,2462,4,False,-76,0x00a0,,,674715139981,1742821803.316974,2025-03-24 15:10:03.316974
28,252,7c:57:3c:19:79:c3,7c:57:3c:19:79:c3,ff:ff:ff:ff:ff:ff,0x0008,1,11,2462,4,False,-77,0x00a0,,,674715141416,1742821803.3187463,2025-03-24 15:10:03.318746
29,250,7c:57:3c:19:79:c0,7c:57:3c:19:79:c0,ff:ff:ff:ff:ff:ff,0x0008,1,11,2462,4,False,-76,0x00a0,,,674715238787,1742821803.415433,2025-03-24 15:10:03.415433
30,252,7c:57:3c:19:79:c1,7c:57:3c:19:79:c1,ff:ff:ff:ff:ff:ff,0x0008,1,11,2462,4,False,-76,0x00a0,,,674715240576,1742821803.417223,2025-03-24 15:10:03.417223
31,254,7c:57:3c:19:79:c2,7c:57:3c:19:79:c2,ff:ff:ff:ff:ff:ff,0x0008,1,11,2462,4,False,-76,0x00a0,,,674715242381,1742821803.4193516,2025-03-24 15:10:03.419352
